Affix	Abv.	Degree 1	Degree 2	Degree 3	Degree 4	Degree 5	Degree 6	Degree 7	Degree 8	Degree 9	Type	Description
tç	IPF	with X’s orientational “face” or “front” facing directly toward the observer(i.e.at an angle perpendicular to observer’s line of sight)	with X’s orientational “face” or “front” pointing perpendicularly upward/upright/vertically upward relative to the observer	with X’s orientational “face” or “front” at an oblique angle oriented toward the observer	with X’s orientational “face” or “front” changing position relative the observer	with the observer being unable to discern/determine the position of X’s orientational “face” or “front” relative to the observer	with X’s orientational “face” or “front” pointing horizontally sideways relative to the observer	with X’s orientational “face” or “front” at an oblique angle oriented away from the observer	with X’s orientational “face” or “front” pointing perpendicularly downward/upside-down/vertically downward relative to the observer	with X’s orientational “face” or “front” facing completely away from the observer (i.e., at an angle perpendicular to observer’s line of sight)		
ţc	EML	what is inferred to be X; seeming X, apparent X, what must be X	what is assumed/presumed to be X; assumed X, presumed X	what is utilized as (if it were) X, de-facto X	what is designated as being/doing X; designated X, entity named to be X	what is turned into, made into X; newly-transformed X, what-once-was-not-but-now-is X	what is treated as being, passed off as, asserted to be X (even though it is not);so-called X	what would be X (if some other condition/prerequisite were true), would-be X	what is hoped to be X, hoped-for X	what is wished to be X, wished-for X		
ţč	DBM	having rows of lighter-colored spots	having rows of darker-colored spots	having lighter-colored facial band(s)	having darker-colored facial band(s)	having a distinctive pattern of fur/bodily markings colored differently from the rest of the body/fur	having lighter-colored dorsal band(s) or stripe(s)	having darker-colored dorsal band(s) or stripe(s)	having lighter-colored lateral band(s) or stripe(s)	having darker-colored lateral band(s) or stripe(s)		
ţd	CTC	melded with/blended with/fused	inseparable(ly)/locked together/bonded	linked/attached/connected/joined	touching intimately/touching all over/flush with/in close contact with	in contact (with exact location/amount/intensity of touching unspecified)	deliberately touching at several spots or places or over a fair area	deliberately touching at one spot or place	barely touching/hardly touching at all/touching at one small spot	not in contact, not touching		
tf	TEM	deep-frozen	frozen	cold	(too) cool	mild, comfortably cool or warm	(too) warm	hot	scorching/burning hot, sufficiently hot to bake/cook/combust	incinerating; sufficiently hot to burn to ashes		
ţf	S08	interior movement along positional component	inside movement at positional component	movement into positional component	movement along/throughout positional component	movement across positional component	at positional component	movement out of positional component	outside movement at positional component	exterior movement along positional component	D1	Positionally-defined componential part
th	QUA	too poor(ly), too badly	very bad(ly)/very poor(ly)/very inadequate(ly)/intolerable/intolerably/terrible/ terribly	bad/poor/inadequate, badly/poorly/inadequately/wanting/lacking	not-so-good/could be better; somewhat poor(ly) or bad(ly)/somewhat wanting or lacking/below average; so-so	not-so-bad/average; could be worse/fairly well/OK, I guess/adequate(ly) /acceptably	good/effective, just right, well/effectively/more than adequate/above-average	very good/very effective(ly)/very well	excellent(ly)/superb(ly)/outstanding(ly)	too good/too well		
ţj	MB2	having a shorter-than-average tail	having a smaller-than-average-mouth/beak/gullet	having smaller-than-average eyes	having smaller/shorter-than-average wings/wingspan	having smaller/shorter-than-average nose/snout/proboscis	having smaller/shorter-than-average limbs	having a smaller body than average	being shorter than average	being more slender/streamlined than average		
tk	S03	interior movement through 3D midst	inside movement in 3D midst	movement into 3D midst	movement throughout 3D midst	movement across 3D midst	in 3D midst	movement out of 3D midst	outside movement around 3D midst	exterior movement along 3D midst	D1	Indefinite position amidst/among [in a 3D volume] 
ţk	MAK	the idea/concept of how to make/construct X	the instructions/plan/blueprint/diagram stating/illustrating how X is (to be) made	the method(ology) in/with which X is/has been constructed	the material of which X is made or which X consists of	a component/ingredient which goes into the making/construction of X	the mold/model/archetype used to create/construct X	the making/construction of X	the physical/structural design in which X is/has been constructed or of which X is an example	the type/kind/sort/genre of entity of which X is a representative		
tl	M14	interior perlative 3D movement	interior 3D movement	3D movement into	continuous course 3D movement	3D movement across	onward 3D movement	3D movement out of	exterior 3D movement	exterior perlative 3D movement	D1	Generic/oblique 3-D range of motion
tļ	PLT	total absence of X (where X was never present to begin with)	total loss/absence of X (where X was previously present)	severe loss of X from previous level -- near absence of X	X is a state of depletion -- losing X, X in a state of being depleted	X at its usual/normal/expected level/amount/capacity	X is a state of repletion -- filling up on X	renewed/restored abundance of X after having been (nearly) depleted	abundant X/an abundance of X, X at full amount/capacity	over-abundance of X, more X than needed or can be used		
tm	TIG	too tight, tight to the point of painfulness or loss of utility	very tight, as tight as can be	perfectly tight, not loose at all	somewhat tight, more tight than loose	neither too tight nor too loose, just right in terms of tightness/looseness	somewhat loose, more loose than tight	perfectly loose, not tight at all	very loose, as loose as can be without slipping out of place	too loose, loose to the point of not staying in place	D2	Degree of Tightness or Elascticity [should be reversed/renamed]
ţm	ITY	too mild(ly)	very mild(ly)	mild(ly)	somewhat mild(ly)	at the normal or expected level of intensity	somewhat intense(ly)	intense(ly)	very intense(ly)	too intense(ly)/overly intense(ly)		
ţp	TPR	wistfully looking back/in the (good) old days [longing]	in hindsight	upon reflection	initial; at first/initially	now that the moment has come	any moment now	imminently; very soon	soon [anticipation]	someday/one day [longing]		
tr	M01	interior movement through	movement inside	movement into	continuous course movement	movement across	onward movement	movement out of	movement outside	exterior movement alongside	D1	Path-oriented quasi-linear translative motion
tř	DX1	way over there somewhere	over there somewhere	there somewhere around you	here somewhere	here with us	here (by me)	there (by you)	over there	way over there		
ţř	SYS	X within a network	X within a network which constitutes a (quasi-)mechanistic system	X within a network which constitutes a self-sustaining system	X within a network which constitutes an autopoietic system	A feedback-driven/self-sustaining/autopoietic system based on X	Same as Degree 9 where the complexity or natural configuration of the network establishes/constitutes an autopoietic system	Same as Degree 9 where the complexity or natural configuration of the network establishes/constitutes a dynamic/feedback-driven/self-sustaining system	Same as Degree 9 where the complexity or natural configuration of the network establishes/constitutes a (quasi-)mechanistic system	an individual entity/element contextually bound to or associated with X within a larger, interconnected/interdependent network of elements, the whole of which forms a niche/milieu/context/situation/setting		
ţs	ERN	individual concept/idea within X’s semantic network	individual place/location within X’s semantic network	individual object within X’s semantic network	individual person within X’s semantic network	node/entity within X’s semantic network and its/their relationship(s) to other entities in the network	a relationship within X’s semantic network	person associated with X’s semantic network and their relationship to the network	place/location within X’s semantic network and its relationship to the network	concept/idea within X’s semantic network and its relationship to the network		
ţš	MIA	non-pitched	w/fixed pitch	w/tunable fixed pitch	w/tunable controllable pitch	unit w/tunable parts	set w/tunable components	playable with multiple modes of contact	w/keyboard or patterned button interface	electronically amplified		
ţt	DCV	headed/oriented in opposite directions/vectors	highly divergent	divergent	slightly divergent	parallel	slightly convergent	convergent	highly convergent	converged/merged into a single vector		
tv	SMN	semantic network of places associated with X and their (inter-)relationships to each other	semantic network of places and objects associated with X and their (inter-)relationships to each other	semantic network of objects associated with X and their (inter-)relationships to each other	semantic network of entities (concepts, persons, places, objects) associated with X	semantic network (or frame) associated with X, i.e., the network of entities (concepts, persons, places, objects), and their (inter-)relationships associated with X; Xand all its milieu and entailments	semantic network of relationships to other entities associated with X	semantic network of persons associated with X and their (inter-)relationships to each other	semantic network of persons and concepts associated with X and their (inter-)relationships to each other	semantic network of concepts/ideas associated with X and their (inter-)relationships to each other		
ţw	P04	interior movement through below	movement inside below	movement into below	movement along below	movement across below	below	movement out of below	movement outside below	exterior movement alongside below	D1	Position at 0 / 0 / -Z
ţx	SPH	too crude(ly)/too primitive(ly)	very crude(ly)/very primitive(ly)	crude(ly)/primitive(ly)	somewhat crude(ly)/somewhat primitive(ly)	with expected/normal degree or level of sophistication	somewhat sophisticated or refined	sophisticated or refined	very sophisticated or refined	too sophisticated or refined		
ţy	P03	interior movement through above	movement inside above	movement into above	movement along above	movement across above	above	movement out of above	movement outside above	exterior movement alongside above	D1	Position at 0 / 0 / +Z
ţẓ	X15	15th in physical arrangement	15th in agreed-upon order	15th in hierarchical order	15th	w/15 instances	w/15 or more instances	w/15 parts/sections	w/15 nodes/connections/points	w/15 hierarchical levels/tiers	0	Fifteen (used in the context of a number-base higher than ten)
v	P08	interior movement through left	movement inside left	movement into left	movement along left	movement across left	left position	movement out of left	movement outside left	exterior movement alongside left	D1	Position at -X / 0 / 0
vb	P17	interior movement through left+ahead	movement inside left+ahead	movement into left+ahead	movement along left+ahead	movement across left+ahead	left+ahead	movement out of left+ahead	movement outside left+ahead	exterior movement alongside left+ahead	D1	Position at -X / +Y / 0
vbw	P26	interior movement through left+ahead+below	movement inside left+ahead+below	movement into left+ahead+below	movement along left+ahead+below	movement across left+ahead+below	left+ahead+below	movement out of left+ahead+below	movement outside left+ahead+below	exterior movement alongside left+ahead+below	D1	Position at -X / +Y / -Z
vby	P25	interior movement through left+ahead+above	movement inside left+ahead+above	movement into left+ahead+above	movement along left+ahead+above	movement across left+ahead+above	left+ahead+above	movement out of left+ahead+above	movement outside left+ahead+above	exterior movement alongside left+ahead+above	D1	Position at -X / +Y / +Z
vč	AVS	forget to	avoid/shy away from	fear to/dare not	hinder, interfere with	prevent/prohibit/not let	refrain/abstain from	dread, not look forward to	be forced to/coerced to/…unwillingly	would rather not/prefer not to		
vç	DPY	tertiary and inessential	tertiary/peripheral	tertiary but still essential	secondary and replaceable/inessential	secondary/ancillary	secondary but essential	primary but replaceable	primary/main/principal/chief	primary and irreplaceable/indispensible		
vd	DSA	taken for granted by all	being common sense that	widely believed/assumed that	fair amount of consensus that	whether or not there is consensus is irrelevant/inapplicable	little consensus that	no consensus that	controversial	impossible to find consensus that		
vḑ	ASC	in the easily-accessible or visible vicinity of; within the readily accessible or readily visible vicinity of	in the area/space nearby; neighborhood; general vicinity	in the quarter/district or surrounding general area	local; in the locality; in the place/town/locality/community/area	regional; in part of the larger geographic or geopolitical entity	geopolitically regional; at the state/provincial level; sub-national or large area	at the national level	international; worldwide	universal		
vg	P18	interior movement through left+behind	movement inside left+behind	movement into left+behind	movement along left+behind	movement across left+behind	left+behind	movement out of left+behind	movement outside left+behind	exterior movement alongside left+behind	D1	Position ay -X / -Y / 0
vgw	P28	interior movement through left+behind+below	movement inside left+behind+below	movement into left+behind+below	movement along left+behind+below	movement across left+behind+below	left+behind+below	movement out of left+behind+below	movement outside left+behind+below	exterior movement alongside left+behind+below	D1	Position at -X / -Y / -Z
vgy	P27	interior movement through left+behind+above	movement inside left+behind+above	movement into left+behind+above	movement along left+behind+above	movement across left+behind+above	left+behind+above	movement out of left+behind+above	movement outside left+behind+above	exterior movement alongside left+behind+above	D1	Position at -X / -Y / +Z
vh	DSG	too unorganized/too chaotic/too random	unorganized/random(ly)/chaotic(ally)	haphazard(ly)/not well-planned/not well-organized/poorly designed	somewhat haphazard(ly)/somewhat disorganized	slightly disorganized/less than well-planned	somewhat organized/somewhat well-planned	organized(ly)/well-planned/well-designed	very organized/very structured	too organized/overly structured/“anal(ly)”		
vj	UHN	zillionth in physical arrangement	zillionth in agreed-upon order	zillionth in hierarchical order	zillionth	w/a zillion instances	w/a zillion or more instances	w/a zillion parts/sections	w/a zillion nodes/connections/points	w/a zillion hierarchical levels/tiers	0	Uncountably High Number (e.g., “a myriad of”)
vk	KSD	of one’s previous generation ( i.e., “once removed (upward)”)	of two generations previous (i.e., “grand-“, “twice removed (upward)”)	of three generations previous (i.e., “great grand-“, “three times removed (upward)”)	foster relationship	common law relationship	pseudo-familial relationship (e.g., non-sanguine person treated like or considered part of sanguine family)	of three generations later (i.e., “great grand-“, “three times removed (downward)”)	of two generations later (i.e., “grand-“, “twice removed (downward)”)	of one’s subsequent generation ( i.e., “once removed (downward)”)		
vļ	PLE	maximally unpleasant	very unpleasant	unpleasant	somewhat unpleasant	neutral	somewhat pleasant	pleasant	very pleasant	maximally pleasant, ecstasy 		
vm	FLX	too rigid/inflexible, rigid/inflexible to the point of not being usable	very rigid/inflexible, as rigid/inflexible as can be	just the right degree of rigidity	somewhat rigid/inflexible, more tight than loose	neither too rigid/inflexible nor too flexible/elastic, just right in terms of rigidity/flexibility	somewhat flexible/elastic, more flexible/elastic than rigid/inflexible	perfectly flexible, not rigid at all, just the right degree of flexibility	very flexible/elastic, as flexible/elastic as can be while still being usable	too flexible/elastic, flexible/elastic to the point of not being usable		
vr	XXZ	0th in physical arrangement	0th in agreed-upon order	0th in hierarchical order	0th	w/0 instances	w/0 or more instances	w/0 parts/sections	w/0 nodes/connections/points	w/0 hierarchical levels/tiers	0*	Zero (used with TNX affix)
vř	NNN	uneven/asymmetrical n–sided 2D obtusely angled form (e.g., quadrilateral pentagonoid)	uneven/asymmetrical n-pointed 2D acutely angled “star” formation	uneven/asymmetrical n-faceted 3D solid	uneven/asymmetrical n-faced 3D solid (e.g., n-hedron-like solid)	having n number of 3D projections/spikes/pointed surfaces	symmetrical n-faced 3D solid (e.g., tetrahedron, dodecahedron)	symmetrical n-faceted 3D solid	symmetrical n-pointed 2D acutely angled “star” formation (can be used with numbers as low as 2, which would refer to an elongated diamond shape)	symmetrical n–sided 2D form (e.g., square, pentagon, hexagon)		
vs	FNS	X as liquid	X as goo or slime-like substance	X as thick, “soupy”, slow-moving liquid	X as paste-like substance	X as gel-like substance	X as wax-like substance	X as clay-like substance	X as foamy, lather-like, suds-like substance	X as gas		
vš	FMS	X as glass(-like substance)	X as carvable substance (like wood or soap)	X as chalk-like, friable substance	X as rock or cement-like substance	X as solid	X in natural chunks or randomly-shaped solid pieces	X as block-like or formed pieces	X as hardened/durable substance	X as metal(lic)		
vw	P20	interior movement through left+below	movement inside left+below	movement into left+below	movement along left+below	movement across left+below	left+below	movement out of left+below	movement outside left+below	exterior movement alongside left+below	D1	Position at -X / 0 / -Z
vx	DCX	too simple	very simple	simple	fairly simple	the right amount of complexity	fairly complex	complex	very complex	too complex		
vy	P19	interior movement through left+above	movement inside left+above	movement into left+above	movement along left+above	movement across left+above	left+above	movement out of left+above	movement outside left+above	exterior movement alongside left+above	D1	Position at -X / 0 / +Z
vz	ACQ	acquired by chance/whim/having stumbled upon	acquired by mental effort/learning/study/creation	acquired by informal, spur-of-the-moment search	acquired by trickery/subterfuge	innate/inherent	acquired by formal search	acquired by informal agreement/negotiation	acquired by formally negotiated trade or deal	acquired by purchase		
vž	MB1	having a longer-than-average tail	having a larger-than-average-mouth/beak/gullet	having larger-than-average eyes	having larger/longer-than-average wings/wingspan	having larger/longer-than-average nose/snout/proboscis	having larger/longer-than-average limbs	having a larger or more robust body than average	being longer/taller than average	being more rotund/fatter than average		
vẓ	PSA	one whose job/profession/vocation involves or is associated with X	one who is interested in/by X	one whose hobby/pasttime involves or is associated with X	one who is obsessed with X	one who seeks/searches/pursues/looks for X	one who follows/keeps track of/keeps tabs on X	one who is responsible for or has oversight over X	one who has a stake in/is affected by their association with X	one who is subject to/is (potentially) affected by X		
x	SIZ	too small	tiny/minuscule	small/little	undersized	the right size	oversized/jumbo	big/large	enormous/huge	too big/too large	D2	Degree of Size
xb	ST2	happening/occurring sometime in the past few days	happening/occurring the day before yesterday	happening/occurring yesterda	appening/occurring several hours ago, earlier today, earlier this morning	happening/occurring now (having begun hours/a while ago and expected to end hours/a while now)	happening/occurring several hours from now, later today, later tonight	happening/occurring tomorrow 	happening/occurring the day after tomorrow	happening/occurring sometime in the next few days		
xc	CK2	steamed, cook by steaming	blanched, heated/cooked by blanching	poaching, cook by poaching	simmered, cook by simmering	boiled, cook by boiling [+iërţ parboiling]	braised, cook by braising	stewed, cook by stewing	toasted, cook by toasting	barbecued, cook by barbecuing		
xč	CK1	sautéed, cook by sautéing	stir-fried, cook by stir-frying	pan-fried, cook by pan-frying	seared, cook by searing	deep-fried, cook by deep-frying X	flash-fried, cook by flash-frying	grilled, cook by grilling	broiled, cook by broiling	roasted, cook by roasting		
xḑ	S25	interior movement along outer corner	inside movement at outer corner	movement into outward vertex	movement along outer corner	movement across outer corner	at outer corner	movement out of outward vertex	outside movement at outer corner	exterior movement along outer corner	D1	External point-like outward-facing vertex/“corner” of an entity
xḑr	S30	interior movement along straight outer edge	inside movement at straight outer edge	movement into straight outward edge	movement along straight outer edge	movement across straight outer edge	at straight outer edge	movement out of straight outward edge	outside movement at straight outer edge	exterior movement along straight outer edge	D1	External linear outward-facing “corner” edge or “corner” space of an entity
xf	S28	interior movement along handle/knob attachment	inside movement at handle/knob attachment	movement into handle/knob attachment	movement along handle/knob attachment	movement across handle/knob attachment	at handle/knob attachment	movement out of handle/knob attachment	outside movement at handle/knob attachment	exterior movement along handle/knob attachment	D1	External attachment point or fastening mechanism of an entity, i.e., handle, hook, latch, velcro patch, knob, peg, etc.
xj	ASP	antimatter	sparticle	particle spin (intrinsic angular momentum)	particle orbital angular momentum	particle mass	isospin	particle parity	particle G-parity	particle C-parity		
xk	S27	interior movement along outer seam	inside movement at outer seam	movement into outer seam	movement along outer seam	movement across outer seam	at outer seam	movement out of outer seam	outside movement around outer seam	exterior movement along outer seam	D1	External quasi-linear joining of surfaces/“seam” of an entity
xl	S23	interior movement along interior surface	movement inside at interior surface	movement into interior surface	movement along/throughout interior surface	movement across interior surface	in interior surface	movement out of interior surface	movement outside at interior surface	exterior movement along interior surface	D1	Interior surface or “wall” / internal surface or “wall” / the inside surface or “wall” of an entity
xn	PZE	of/from/during the Paleozoic Era	of/from/during the Early (or Lower) or Middle Cambrian Period	of/from/during the Late (Upper) Cambrian epoch or Furongian period	of/from/during the Ordovician epoch	of/from/during the Silurian epoch	of/from/during the Devonian epoch	of/from/during the Mississippian period of the Carboniferous epoch	of/from/during the Pennsylvanian period of the Carboniferous epoch	of/from/during the Permian epoch		
xr	S24	interior movement along exterior surface	movement inside at exterior surface	movement into exterior surface	movement along/throughout exterior surface	movement across exterior surface	on exterior surface	movement out of exterior surface	movement outside at exterior surface	exterior movement along exterior surface	D1	Exterior/external surface/“outside”/“skin” of an entity
xt	S26	interior movement along outer edge	inside movement at outer edge	movement into outward edge	movement along outer edge	movement across outer edge	at outer edge	movement out of outward edge	outside movement at outer edge	exterior movement along outer edge	D1	External quasi-linear edge of an entity
xţ	CNC	…the hell…!/what the hell…/… who cares!?	self-centered(ly)/without thought or concern for others	without concern/indifferent(ly)/without consideration/unconcerned(ly)/thoughtless(ly)	at the very least/at the least level of concern required	at best/with the most concern one can muster	with some concern/with a certain degree of concern	concerned(ly)/with concern/with consideration for others	very concerned(ly)/highly concerned(ly)/with great concern or consideration for others	overly concerned(ly)/worrisome(ly)/with too much concern or consideration for others/altruistically		
xv	DCP	highly concentrated; unable to get more concentrated	very concentrated/condensed/agglomerated	concentrated/agglomerated/condensed	somewhat concentrated; in close proximity to one another	at just the right/usual/standard/normal/expected concentration; neither too concentrated nor too scarce/dissipated	somewhat dissipated/scattered/far apart from one another	dissipated; scattered; not in close contact/proximity with one another	dissipated/scattered to the point of non-coherence/non-communication/non-viability	widely dissipated; widely scattered; in concentrations so low as to be undetectable		
xw	S22	interior movement through the innards	inside movement at the innards	movement into interior	movement throughout the inside	movement across the inside	inside	movement out of interior	outside movement at the innards	exterior movement along the innards	D1	Interior/internal volume/“insides”/“innards” of an entity
xẓ	CK3	uncooked, raw, serve X raw/uncooked [+iërţ parcooked]	smoked, cook by smoking	cured, prepare by curing	fermented, prepare by fermenting	brewed, prepare by brewing	pressure-cooked/pressure-steamed, cook by pressure-cooking	slow-cooked, cook by slow-cooking underground	slow-cooked, cook by slow-cooking in crockpot	baking, cook by baking [+iërţ parbaking]		
z	XX3	3rd in physical arrangement	3rd in agreed-upon order	3rd in hierarchical order	3rd	w/3 instances	w/3 or more instances	w/3 parts/sections	w/3 nodes/connections/points	w/3 hierarchical levels/tiers	0	Three
ž	CPC	have the physical ability to	have the opportunity to	have the potential to	offer/volunteer to	have knowledge/skill needed to	be permitted to	let/allow to	suggest that/propose to	take advantage of the opportunity to	0	Capacitative modalities
ẓ	PLA	where one learns to X	where one undergoes X	where one obtains X	where one stores X	where one keeps/shelters X	where one sees/views X	natural habitat of X	where one interacts with X	where one feels affected by X	0	Place/Setting Where…
zb	BY1	w/a finger	w/a thumb	w/one’s fingers	w/a hand	w/both hands	w/an elbow/forearm	w/both elbows/forearms	w/an arm/tentacle/primary manipulator appendage	w/both arms/tentacles/primary manipulator appendages		
žb	UDE	the limitation(s) entailed by	difficulty/problem entailed by	hindrance/obstacle entailed by	extra or undesirable effort/work/resources needed for	disturbance caused by, or as a result of	undesired surprise caused by, or as a result of	issue/point/question raised by, or entailed by	dilemma/quandary/predicament caused by, or entailed by	mess/muddle/botched situation created by, or entailed by		
ẓb	TGO	sin X	cos X	tan X	arcsin X	arccos X	arctan X	sinh X	cosh X	tanh X		
zc	XX1	1st in physical arrangement	1st in agreed-upon order	1st in hierarchical order	1st	w/1 instance(s)	w/1 or more instances	w/1 part(s)/section(s)	w/1 node(s)/connection(s)/point(s)	w/1 hierarchical level(s)/tier(s)	0	One (used with TNX affix)
zč	TRF	cured (transformed by natural chemical process)	treated	processed (transformed by artificial/man-made process)	transformed via exposure to or saturation w/ other substance(s)	cooked	soaked/saturated/marinated with liquid(s)	derived (chemically or processually) from something else	fermented	pickled/brined		
žč	BMP	building for selling	building for conducting the profession	building used for displaying	building used for housing	building for conducting	building for putting a performance of	building for preventing from going outside	building for protecting from external harm	building for working on		
ẓč	PG1	with physical features characteristic of mainland Asia	with physical features characteristic of Southeast Asia/Polynesia	with physical features characteristic of Central Asia	with physical features characteristic of the Indian sub-continent	with physical features characteristic of Western Asia/Mesopotamia	with physical features characteristic of Western Europe/being Norse	with physical features characteristic of Eastern Europe/Balkans	with physical features characteristic of sub-Saharan Africa	having physical features characteristic of North Africa/Mediterranean		
zd	BY2	w/a toe	w/a big toe	w/one’s toes	w/a foot/paw	both feet/paws	w/a knee	w/both knees	w/a leg/primary ambulatory appendage	w/both legs/primary ambulatory appendages		
zḑ	GPE										0	Functional Group E
žd	ISA	library/archive created/built for, devoted to, or associated with X	transportation/shipping network for the physical conveyance/supplying of X	commercial establishment/store/shop created/built for, devoted to, or associated with selling/providing X	company/enterprise created/built for, devoted to, or associated with (selling/marketing) X	online/internet-based electronic/computerized network created/built for, devoted to, or associated with X	research facility/laboratory established to design/create/test/experiment with X	governmental agency/bureau/office/department created to/for or associated with X	multi-faceted infrastructural network created/built for, devoted to, or associated with X	campus devoted to or associated with X (i.e., a collection/set of buildings, facilities, labs, domiciles & infrastructure)		
žḑ	GPG										0	Functional Group G
ẓd	MET	part for whole	producer for product	object used or owned for user/owner	controller for controlled	institution for people responsible	place for inhabitants/occupants	place for event	place for institution	attribute or characteristic for owner		
ẓḑ	GPJ	thiocyanate, thocyanato-, -thiocyanate	isothiocyanate,  isothiocyanato-, -isothiocyanate	methanethioyl-, -thial	carbothioic S-acid, mercaptocarbonyl-, -thioic S-acid	carbothioic O-acid, hydroxythiocarbonyl-, -thioic O-acid	thioester, S-alkyl-alkane-thioate	thionoester, O-alkyl-alkane-thioate	carbodithioic acid, dithiocarboxy-, -dithioic acid	dithiocarboxylic acid ester, -dithioate	0	Functional Group J
zf	ENS	active at twilight/crepuscular	active at night/nocturnal	active around dawn	active during the morning	active during the day/diurnal	sessile, not motile -- adhering to a substrate by direct attachment (not via a stalk/stipe/pedicel/connecting medium)	attached to a substrate via a stalk/stipe/pedicel/connecting medium	motile in reaction to heat	motile in reaction to light		
žf	HEA	in the prime of health, completely healthy, without any illness, malady, injury, or incapacity	suffering from a temporary illness or malady causing some degree of impairment or incapacity	suffering from a major illness or malady causing significant impairment or incapacity	malnourished/under-nourished/emaciated, suffering from malnutrition and/or long-term lack of proper care	suffering from a temporary/mild injury causing some degree of impairment or incapacity	suffering from a major injury causing significant impairment or incapacity	permanently impaired/incapacitated due to having suffered a life-altering injury or illness	chronically sick/ill to the point of (seemingly) permanent decrepitude/impairment	permanently bed-ridden and incapable of caring for one’s basic needs due to chronic illness or physical decrepitude/incapacity		
ẓf	SCA	well-mannered, polite, proper	classy, dignified, in good taste	aristocratic, displaying nobility and breeding 	stuffy, priggish	overbearing, blustering	domineering, bullying, intimidating	startling, unexpected	flashy, glitzy	spectacular, showy, larger-than-life, awe-inspiring		
zg	BY3	w/one’s torso/chest/thorax	w/one’s shoulders	w/one’s head	w/one’s ears	w/one’s eyes	w/one’s nose/snout/proboscis	w/one’s teeth/fangs	w/one’s lips	w/one’s tongue		
žg	OLF	having the odor of	having an odor like/similar to	having an odor reminiscent of	having an odor that has the same effect as	having an odor that has an effect similar to that of	odor whose cause is attributed to (not emanating from, but assumed/believed to be caused by)	odor caused by (not emanating from)	smell/odor that seems to be emanating from	smell/odor emanating from		
ẓg	BRE	inhabiting or originating in the Palearctic ecozone	inhabiting or originating in the Nearctic ecozone	inhabiting or originating in the Holarctic ecozone	inhabiting or originating in the Afrotropic ecozone	inhabiting or originating in the Neotropic ecozone	inhabiting or originating in the Australasia ecozone	inhabiting or originating in the Indomalaya ecozone	inhabiting or originating in the Oceania ecozone	inhabiting or originating in the Antarctic ecozone		
žh	KPF	too lacking in proficiency, completely untrained to/in…	very lacking in skill or proficiency, very poorly trained	lacking in skill or proficiency, poorly trained	amateurish/superficially able to…	learning to…/beginning to be able to…/with growing proficiency or expertise in	nearly proficient in	proficient	expert	too proficient/overly proficient/with too much expertise		
zj	HG2	in a manner of speaking, in a sense/in a way	‘in other words…’, ‘to put it more exactly….’	more of a ___ than anything else	(what can be looked at (as)/(what) can be viewed as/(what) one thinks of(as)/one might say that	loosely speaking	so-called	in name only	so to say, so to speak	for all I know/for all one knows		
žj	VIS	having the look of X	having the look similar to X	having the look reminiscent of X	having the look with the same effect as X	having the look with the similar effect to X	look whose cause is attributed to X	look caused by X	X's apparent look	X's look		
ẓj	PG2	having physical features characteristic of Arctic origin or environment	having physical features characteristic of Mediterranean Sea origin or environment	having physical features characteristic of Pacific Ocean or environment	having physical features characteristic of North Atlantic origin or environment	having physical features characteristic of South Atlantic origin or environment	having physical features characteristic of South Pacific oceanic origin or environment	having physical features characteristic of Indian Ocean origin or environment	having physical features characteristic of Antarctic origin or environment	having physical features characteristic of New World/American origin or environment		
zk	BY4	w/one’s mouth/beak	w/one’s fins/flippers/flukes	w/one’s stinger	w/one’s tail	w/one’s horn/tusk	w/one’s horns/tusks	w/one’s whiskers/feelers/antennae	a fingernail/claw	w/one’s fingernails/claws		
žk	AR2	with one arm flexed (i.e., curled up at elbow joint)	with one arm behind one’s back	with one arm held behind one’s head	with one arm held with hand on one’s hip	with arms folded across chest/torso	with arms akimbo	with both arms raised behind one’s head	with both arms behind one’s back	with both arms flexed (i.e., curled up at elbow joint)		
ẓk	VAL	(MNO) Monoactive	(PRL) Parallel	(CRO) Corollary	(RCP) Reciprocal	(CPL) Complementary	(DUP) Duplicative	(DEM) Demonstrative	(CNG) Contingent	(PTI) Participatory		
zļ	GPF										0	Functional Group F
žļ	GPH	sulfhydryl	sulfide	disulfide	sulfoxide	sulfone	sulfinic acid	sulfonic acid	sulfonate ester	carbonothioyl	0	Functional Group H
ẓl	S11	interior movement through median middle	inside movement at median middle	movement into median middle	movement throughout median middle	movement across median middle	at median middle	movement out of median middle	outside movement at median middle	exterior movement along median middle	D1	Planar 2D middle, center running both its length and width parallel to the profile (sagittal plane) of the entity
zm	RCO	recoil in place not enough	recoil in place hardly at all	recoil in place to a small degree	recoil in place less than normal	recoil in place to the nomal degree	recoil in place more than normal	recoil in place to a large degree	recoil in place to a very large degree	recoil in place too much		
žm	TFI	go back and forth not enough	go back and forth hardly at all	go back and forth to a small degree	go back and forth less than normal	go back and forth to the nomal degree	go back and forth more than normal	go back and forth to a large degree	go back and forth to a very large degree	go back and forth too much		
ẓm	CRV	roll not enough	roll hardly at all	roll to a small degree	roll less than normal	roll to the nomal degree	roll more than normal	roll to a large degree	roll to a very large degree	roll too much		
